time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
26.889,1673.9093700658864,206.6500032,100.0,0,10553.114501485714,5,0,-3183.0,6874.0,7380.0
27.023,1681.789444444444,210.0,100.0,0,10779.0,5,0,-3210.4645033928564,6942.896224659353,7381.84938256402
27.303,1698.4338888888885,214.0,100.0,0,10919.0,5,0,-3271.398440999969,7063.998409466613,7384.972769286605
27.309,1698.796324817284,214.18000384,100.0,0,10927.94019072,5,0,-3273.0,7067.0,7385.0
27.489,1709.7933529374366,219.58000384,100.0,0,11196.14019072,5,0,-3326.0,7164.0,7385.0
27.503,1710.6561111111107,220.0,100.0,0,11217.0,5,0,-3330.273798192211,7171.611208715016,7384.938798642272
27.663,1720.5672222222217,223.0,100.0,0,11250.0,5,0,-3379.189304095519,7257.747057724395,7384.014374851958
27.669,1720.9396998834452,223.0375008,100.0,0,11252.0250432,5,0,-3381.0,7261.0,7384.0
27.823,1730.5227777777773,224.0,100.0,0,11304.0,5,0,-3426.513731236205,7345.3546731139095,7384.410437048184
27.889,1734.662615428004,224.60000116363636,100.0,0,11320.500032,5,0,-3445.0,7381.0,7385.0
28.089,1747.3401754244733,226.41818298181818,100.0,0,11370.500032,5,0,-3499.0,7494.0,7389.0
28.263,1758.389444444444,228.0,100.0,0,11414.0,5,0,-3554.0736349011704,7634.080905010128,7398.305672187384
28.329,1762.5682870979626,228.0,100.0,0,11434.350039466666,5,0,-3572.0,7683.0,7402.0
28.503,1773.5894444444439,228.0,100.0,0,11488.0,5,0,-3603.224781604018,7776.532823949836,7410.053089841815
28.703,1786.3672222222217,230.0,100.0,0,11519.0,5,0,-3625.2153340948107,7864.42310106864,7418.566082047388
28.749,1789.313644392886,230.23000064,100.0,0,11551.2000896,5,0,-3632.0,7893.0,7421.0
28.903,1799.200555555555,231.0,100.0,0,11659.0,5,0,-3659.091777315407,8009.026115063719,7430.317133856549
28.93,1800.9406744440898,230.8312496,100.0,0,11659.1687504,5,0,-3664.0,8030.0,7432.0
29.063,1809.4227777777771,230.0,100.0,1,11660.0,5,0,-3687.674165574492,8130.286595424323,7440.201730286142
