time,distance,speed,throttle,brake,rpm,gear,drs,x,y,z
48.183,2862.129246842457,272.0,100.0,0,10522.0,7,0,-1355.9398538814405,14101.91808846822,7377.375699241099
48.369,2876.1825801757905,272.0,100.0,0,10522.0,7,0,-1373.0,13998.0,7379.0
48.383,2877.2403579535685,272.0,100.0,0,10522.0,7,0,-1374.5990879373392,13989.638894307398,7379.133328383669
48.77,2906.5843642207683,272.96750016,100.0,0,10634.23001856,7,0,-1440.0,13732.0,7382.0
48.783,2907.5701975541015,273.0,100.0,0,10638.0,7,0,-1443.1568274165836,13722.683104938773,7381.973192419681
48.99,2923.366885084768,274.72500053333334,100.0,0,10694.9250176,7,0,-1500.0,13574.0,7380.0
49.143,2935.096885084768,276.0,100.0,0,10737.0,7,0,-1547.1188112308164,13467.882634286336,7376.239615754957
49.15,2935.6336368216566,276.0437504,100.0,0,10737.3062528,7,0,-1550.0,13462.0,7376.0
49.303,2947.4061368216567,277.0,100.0,0,10744.0,7,0,-1634.3044853538513,13301.25476170908,7369.137683067621
49.43,2957.2060830163236,277.7937504,100.0,0,10746.3812512,7,0,-1696.0,13189.0,7364.0
49.463,2959.7544163496573,278.0,100.0,0,10747.0,7,0,-1705.8205383857617,13171.588332494755,7363.118192930615
49.65,2974.229539935988,278.66548080637284,100.0,0,10779.60855951227,7,0,-1736.0,13124.0,7360.0
49.744,2981.5145399359885,279.0,100.0,0,10796.0,7,0,-1764.489951213644,13080.405860429988,7357.499717435854
49.969,2998.9520399359885,279.0,100.0,0,10784.7499904,7,0,-1875.0,12918.0,7349.0
49.984,3000.1145399359884,279.0,100.0,0,10784.0,7,0,-1883.7511852376945,12906.065512127847,7348.397399999503
50.169,3014.452039935988,279.0,100.0,0,10748.38746304,7,0,-2007.0,12748.0,7341.0
50.384,3031.1145399359884,279.0,100.0,0,10707.0,7,0,-2184.481993701276,12541.46400962931,7334.195157567323
50.449,3036.1461718630994,278.67499904,100.0,0,10708.95000576,7,0,-2220.0,12501.0,7333.0
50.584,3046.5711718630996,278.0,100.0,0,10713.0,7,0,-2247.17266895963,12470.255214864424,7332.125601511411
50.689,3054.698645856433,278.6562512,100.0,0,10703.156232,7,0,-2271.0,12443.0,7332.0
50.744,3058.9611458564327,279.0,100.0,0,10698.0,7,0,-2297.519362534592,12412.500382867674,7331.859488175471
50.944,3074.4055903008775,278.0,100.0,0,10695.0,7,0,-2456.4328750913423,12229.367247422222,7331.088341478949
51.029,3080.9694791897664,278.0,100.0,0,10695.0,7,0,-2514.0,12163.0,7331.0
51.184,3092.9389236342104,278.0,100.0,0,10695.0,7,0,-2581.108324900752,12085.620363021195,7331.413014577649
51.384,3108.383368078655,278.0,100.0,0,10684.0,7,0,-2629.9696636538524,12028.594387057183,7332.642714986818
51.449,3113.3969444502104,277.67499904,100.0,0,10666.1249472,7,0,-2655.0,11999.0,7333.0
51.584,3123.7844444502107,277.0,100.0,0,10629.0,7,0,-2721.4441060741638,11920.028698292332,7333.763647357162
51.609,3125.7080555613215,277.0,100.0,0,10631.37501824,7,0,-2734.0,11905.0,7334.0
51.689,3131.863611116877,277.0,100.0,0,10638.97501824,7,0,-2773.0,11858.0,7335.0
51.784,3139.1733333390994,277.0,100.0,0,10648.0,7,0,-2819.016864427187,11801.73297067405,7336.29298720566
51.909,3148.5269271791353,269.38350259303166,55.19707407665685,0,10200.418770025803,7,0,-2879.0,11727.0,7338.0
52.063,3159.6491494013576,260.0,0.0,1,9649.0,7,0,-2950.68012805242,11635.39532258401,7339.972480592167
52.169,3167.090128308913,252.7124912,0.0,1,9503.9123248,7,0,-2996.0,11574.0,7341.0
52.223,3170.825128308913,249.0,0.0,1,9430.0,7,0,-3017.221483891098,11543.55859221924,7341.36241414682
52.409,3182.626163291008,228.4071286857143,0.0,1,9906.293184914286,7,0,-3082.0,11442.0,7342.0
52.503,3188.3183855132306,218.0,0.0,1,10147.0,7,0,-3111.2686517362317,11391.510291315175,7342.202299211471
52.649,3196.4933710403416,201.5749856,0.0,1,10312.1626448,7,0,-3153.0,11314.0,7343.0
52.663,3197.271148818119,200.0,0.0,1,10328.0,7,0,-3156.817285803747,11306.626233989038,7343.159509392277
52.729,3200.8672320145633,196.14999253333335,0.0,1,10464.9502656,7,0,-3174.0,11273.0,7344.0
52.903,3209.857232014563,186.0,0.0,1,10826.0,7,0,-3206.2957124353707,11210.352290056073,7344.977705018793
53.069,3218.14685679323,179.7749952,0.0,1,11315.1816272,7,0,-3236.0,11144.0,7345.0
53.223,3225.5901901265634,174.0,0.0,1,11769.0,3,0,-3276.0825708269804,11042.273926455488,7345.004919076341
53.309,3229.605613527452,168.0874912,0.0,1,11769.0,3,0,-3296.0,10986.0,7345.0
53.383,3232.956169083008,163.0,0.0,1,11769.0,3,0,-3308.7865266276553,10944.494973295828,7344.990964738477
53.729,3247.975665757378,156.27221973333334,0.0,1,10713.6996096,3,0,-3329.0,10818.0,7345.0
53.743,3248.5823324240446,156.0,0.0,0,10671.0,3,0,-3329.312194870524,10814.140246688356,7345.00904789029
54.009,3259.7580266996,151.2499977142857,25.650012342857142,0,10421.149879771428,3,0,-3329.0,10745.0,7345.0
54.023,3260.3452489218225,151.0,27.0,0,10408.0,3,0,-3328.420174724751,10740.5284715784,7344.954713266806
54.329,3273.035748861378,149.2999992888889,39.750005333333334,0,10460.700022044444,3,0,-3298.0,10623.0,7343.0
54.383,3275.2707488613783,149.0,42.0,0,10470.0,3,0,-3288.5761499125924,10603.179854293016,7342.675945521085
54.589,3283.8950915150076,150.71666773333334,58.59445475555556,0,10873.989139911111,3,0,-3241.0,10534.0,7341.0
54.709,3288.9523137727856,151.71666773333334,68.26112142222222,0,11109.322473244445,3,0,-3205.0,10497.0,7339.0
